BEA_CODE,YEAR,REL_P_EQ_DEVIATION
212,1975,0.7062165879684815
212,1976,0.7353002856571832
212,1977,0.7725587945642297
212,1978,0.7994889453699555
212,1979,0.8218231543633588
212,1980,0.8674530619838723
212,1981,0.9178316021972768
212,1982,0.9348210051776223
212,1983,0.9296635400611785
212,1984,0.9453106484535939
212,1985,0.961191282147571
212,1986,0.9780184193816056
212,1987,1.0
212,1988,1.0211554535057195
212,1989,1.0375999817693622
212,1990,1.0594283620997669
212,1991,1.0772621499214317
212,1992,1.0971359212830887
212,1993,1.1204953810619762
212,1994,1.1413178129009423
212,1995,1.1717473552664492
212,1996,1.2117555833055327
212,1997,1.2583228797473192
212,1998,1.316721092459543
212,1999,1.371462548366852
212,2000,1.4060254451081373
212,2001,1.456646122705409
212,2002,1.5018241503320093
212,2003,1.5617065715646845
212,2004,1.618232859669019
212,2005,1.6817010479603662
212,2006,1.7511713305366194
212,2007,1.804446629417034
212,2008,1.8770506636032118
212,2009,1.924653489671339
212,2010,1.953786376429392
212,2011,1.9932645695200122
212,2012,2.048074606054499
212,2013,2.077636619217398
212,2014,2.108330037569524
212,2015,2.132922216289074
212,2016,2.1512203822726526
212,2017,2.169780298390464
212,2018,2.191918286602233
212,2019,2.2354414240768867
212,2020,2.23802640103156
212,2021,2.255044999553707
212,2022,2.3101931090839245
212,2023,2.371873153296933
212,2024,2.391065021334638
213,1947,0.5874785828503106
213,1948,0.5980180103427443
213,1949,0.6116742644497233
213,1950,0.6186211574233094
213,1951,0.6158319821377104
213,1952,0.6246237259641716
213,1953,0.6349951865813578
213,1954,0.6472090602424849
213,1955,0.644213768171784
213,1956,0.6458753994589186
213,1957,0.6502439696500121
213,1958,0.6551113132782246
213,1959,0.6556254296911638
213,1960,0.6622338966749747
213,1961,0.6626884525453811
213,1962,0.664814426119326
213,1963,0.665906042294191
213,1964,0.6734893093680122
213,1965,0.6774035950955449
213,1966,0.6873609834618739
213,1967,0.6946275890578455
213,1968,0.7065027558877028
213,1969,0.7116842836105508
213,1970,0.7163783317027619
213,1971,0.725797523305867
213,1972,0.7315511150437745
213,1973,0.7358838903155417
213,1974,0.7436597954877575
213,1975,0.7962582125240109
213,1976,0.8178331943062092
213,1977,0.8525810713776335
213,1978,0.8759345606380501
213,1979,0.8926450019652534
213,1980,0.9170227937631239
213,1981,0.9386398941077051
213,1982,0.9436653538070361
213,1983,0.9427259699430385
213,1984,0.9481195390966526
213,1985,0.960069553114309
213,1986,0.973752792112641
213,1987,1.0
213,1988,1.021149316499926
213,1989,1.0343040503472267
213,1990,1.0546871179949604
213,1991,1.0699772143049655
213,1992,1.0879154281164765
213,1993,1.1073635306761747
