YEAR,BEA_CODE,SKILL_PREMIUM
2021,335,2.1663437982541427
2022,335,2.3171777395200905
2023,335,2.5630064686292213
2024,335,2.408933521053129
2025,335,1.9588611555505788
1968,3361MV,1.2461007027672335
1969,3361MV,1.2298817403076403
1970,3361MV,1.3710528224424654
1971,3361MV,1.3944845444383946
1972,3361MV,1.4250541758535862
1973,3361MV,1.317065987909874
1974,3361MV,1.2689069305735237
1975,3361MV,1.3367109996551485
1976,3361MV,1.2647561920032888
1977,3361MV,1.2577835102101627
1978,3361MV,1.3217466331015395
1979,3361MV,1.2235074287133192
1980,3361MV,1.22962163206814
1981,3361MV,1.349525379659143
1982,3361MV,1.3358162889173504
1983,3361MV,1.4113795398897702
1984,3361MV,1.3356561845713382
1985,3361MV,1.2373148496584754
1986,3361MV,1.2951090254837845
1987,3361MV,1.2461658834555265
1988,3361MV,1.3131131786277097
1989,3361MV,1.3552291638367742
1990,3361MV,1.3264468660160191
1991,3361MV,1.4471173917490696
1992,3361MV,1.3640253571492071
1993,3361MV,1.3622037350506337
1994,3361MV,1.3246213659860226
1995,3361MV,1.3553448965044113
1996,3361MV,1.3656486290753789
1997,3361MV,1.2164837285780226
1998,3361MV,1.395519561297651
1999,3361MV,1.4696199218543127
2000,3361MV,1.4295857573632835
2001,3361MV,1.5994631135899733
2002,3361MV,1.4294146078084415
2003,3361MV,1.447198222039258
2004,3361MV,1.4485169101737576
2005,3361MV,1.5429385221056455
2006,3361MV,1.4755793059982085
2007,3361MV,1.4623003344001222
2008,3361MV,1.628811649689831
2009,3361MV,1.7778994320932897
2010,3361MV,1.7061158128374467
2011,3361MV,1.6857455663365954
2012,3361MV,1.5818331869133568
2013,3361MV,1.583983612588947
2014,3361MV,1.6304586352586175
2015,3361MV,1.587621970203978
2016,3361MV,1.8212623127267258
2017,3361MV,1.4488901889770893
2018,3361MV,1.7087462265144873
2019,3361MV,1.69525493150917
2020,3361MV,1.6993947956968412
2021,3361MV,1.8350787473438435
2022,3361MV,1.5488391891665614
2023,3361MV,1.7434738272170258
2024,3361MV,1.8463464681229529
2025,3361MV,1.4751088051253307
1968,3364OT,1.4628563685355045
1969,3364OT,1.4411472229481253
1970,3364OT,1.45360229230565
1971,3364OT,1.5172568299323161
1972,3364OT,1.30876494928355
1973,3364OT,1.4978717267590165
1974,3364OT,1.4531209256211788
1975,3364OT,1.5010070572724856
1976,3364OT,1.3591594010741943
1977,3364OT,1.347567468451056
1978,3364OT,1.4066913936063012
1979,3364OT,1.372806290436802
1980,3364OT,1.2898721081292943
1981,3364OT,1.3658200892074428
1982,3364OT,1.393452486974544
1983,3364OT,1.3681118654020696
1984,3364OT,1.4153068979314438
1985,3364OT,1.4231751778408033
1986,3364OT,1.3956481701782824
1987,3364OT,1.4762500958909737
1988,3364OT,1.4577573692566281
1989,3364OT,1.443520859689765
1990,3364OT,1.436744750892156
1991,3364OT,1.4140585783074593
1992,3364OT,1.4782919156322456
1993,3364OT,1.4249711059766943
1994,3364OT,1.3410629248186479
1995,3364OT,1.4689598854995014
1996,3364OT,1.4889740227480828
1997,3364OT,1.5966671699619126
1998,3364OT,1.5663105472438623
1999,3364OT,1.4416913888997407
2000,3364OT,1.4784313476377888
2001,3364OT,1.7451996782066128
2002,3364OT,1.544035913927741
2003,3364OT,1.6776455117760956
2004,3364OT,1.6813679210503305
2005,3364OT,1.6953849184578922
2006,3364OT,1.6646161047468322
2007,3364OT,1.8687055051787456
2008,3364OT,1.6494007223260787
2009,3364OT,1.7322259853475965
2010,3364OT,1.538300605247435
2011,3364OT,1.2148873563233595
2012,3364OT,1.639183742594249
2013,3364OT,1.70341531199135
2014,3364OT,1.901693427352303
2015,3364OT,1.7053210807605104
2016,3364OT,1.5039076597668297
2017,3364OT,1.6839772077303827
2018,3364OT,1.7501193496675143
2019,3364OT,1.6525471406891474
2020,3364OT,1.8835841298697695
2021,3364OT,1.731928893504256
2022,3364OT,1.7421868676416647
2023,3364OT,1.7879736849624104
2024,3364OT,1.7057778199578177
2025,3364OT,1.3643032681905218
1979,337,1.2995298671282796
1985,337,1.3360032253114356
1986,337,1.7140196158341712
1987,337,1.706416190795871
1992,337,1.4912584172685206
1993,337,1.539855263922803
1994,337,1.3646064656872499
1995,337,1.4037233114874832
1996,337,1.6130046214290306
1997,337,1.6229045744541597
1998,337,1.733539939378138
1999,337,1.7690214626723086
2000,337,1.6312233531186313
2001,337,1.558753693867233
2002,337,1.6875827704084674
2003,337,1.466667008934253
2004,337,1.8765621620266142
2005,337,1.5397332177893683
2006,337,1.3205510880914224
2007,337,1.4701576741111602
2008,337,1.5556604250186334
2009,337,1.4654767500604615
2010,337,1.594149215291654
2011,337,1.51768073044247
2012,337,1.169533041825735
2013,337,1.6515042593242666
2014,337,1.6531413674615716
2015,337,1.5032064124106062
