K_STR,K_EQ,DPR_STR,DPR_EQ,REL_P_EQ,OUTPUT,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_SHARE
559.6344366152198,667.4440561906272,0.0214125684063614,0.1148808584503707,0.6362252513879665,411.7542227385946,16.344719389536355,6.102204982705743,3.32473813125487,3.113793804311081,1.4495202343366198,0.3334718482011164,0.710547909163278
576.7431534011838,704.6609791422646,0.0226561436930193,0.1204852495175076,0.6812469849522153,410.90824873283617,15.62585512486974,6.5717478289287,3.61486386059591,3.2324439069856057,1.3839835484274894,0.375653076664333,0.7110715288831948
597.2969131723974,749.930177543595,0.0224229115764079,0.1209818091203588,0.6577655724934702,433.0485575066391,15.793696244712464,6.44936251446528,3.817027881927831,3.5934136659701283,1.4570476647046435,0.3647395526912843,0.697253123729918
623.2662935753522,816.9164339124255,0.0223481869219712,0.1210677891005759,0.6215223797962584,453.0734584110252,15.751931603834755,6.549837267966711,4.075526351821327,3.8151400844905488,1.4488341025556868,0.3714039735529306,0.6948746186222409
654.0185111744728,903.9146079516372,0.0225645887651101,0.1205006306393713,0.5980863972438646,478.1523792720765,15.798013133947046,6.560912506542605,4.35131997449318,4.056925850622462,1.4430052996630007,0.3709467999644915,0.6901331141434761
686.5309888861975,1009.3324773528706,0.0226578985106427,0.1194516425645741,0.5519512125866026,493.29137836644,15.853381066881798,6.742831515791014,4.660672513573131,4.2983524604935655,1.4273987522239178,0.3799008474960762,0.6876241236136379
714.228389509222,1101.0441556185117,0.0227804055890827,0.1199596047031666,0.5159338778380057,492.0248543798329,15.763125912038523,6.941943426554851,5.103594439841557,4.660964942554646,1.4134861490980588,0.3933585357778573,0.6904188570643053
741.3009876865115,1189.2562251408435,0.0236792670467652,0.1219937936384795,0.5030803462616278,504.5110640603185,15.393023968714882,7.1578574349514685,5.539705309296122,5.062820904276315,1.4144831503876576,0.4153449665933054,0.6899726034699747
763.2976125600612,1242.801125666923,0.024642426331208,0.1262503049524274,0.5028768982497926,495.4152976262321,15.226946475729806,7.526181810263099,6.034692692439792,5.616295972297736,1.4404119101080015,0.4414807152234734,0.6787908429879301
787.3898023634941,1298.7301197262675,0.0242277407631738,0.1279337865799586,0.4773346928254476,518.1247783512823,14.571109176133897,7.993118142835271,6.3325592607854055,5.983144448922096,1.4623189287763103,0.4899744940750152,0.6748424371341614
816.9385267599404,1402.9554076335617,0.0239521814359868,0.127007299270073,0.4315551532510093,555.6194898681761,14.582921410192046,7.996763655306002,6.539570481943641,6.23405709194958,1.4754123919414597,0.4898008996999279,0.670775880526868
848.1922424022314,1511.8797964036191,0.024140880639774,0.1279965980970605,0.4051084616343245,578.786912494185,15.067015983440468,8.269230319381805,6.839984636296352,6.629735100079653,1.500143919687463,0.4902162377479376,0.6670086442545629
879.5671417969834,1615.3772219122882,0.0241249904265911,0.129145728643216,0.3889160287787755,598.8282542039113,15.152788353329877,8.428266862570046,7.132503593109466,6.952790329944754,1.508721259800382,0.4968160002516991,0.6702620957769886
911.0414805526458,1714.403116471239,0.0239521678456282,0.1310089804543053,0.3680450717582207,619.5432324510289,15.152420299308908,8.655715863358003,7.350861828253909,7.315195429038495,1.5402086206488224,0.5102356936964121,0.6789619545990007
941.1389327832594,1831.2836954568636,0.0241578691288457,0.1314000906207522,0.349670341185944,645.4219330196481,15.344081543148278,8.763377066068166,7.602397537195859,7.461031770280964,1.518938499764206,0.5101295179520134,0.6800436147078109
969.4608172423976,1957.3276909210608,0.0243157511198748,0.1319548710909012,0.3326457769636767,669.1260824677813,15.442295096639914,9.016979200842888,7.83573718297549,7.786491149563563,1.537991055298504,0.5215537516533807,0.6789484197058331
994.79007166572,2068.0222635432942,0.0244702398700403,0.13167433714821,0.3151168641607811,681.7454917702934,15.495190105255302,9.11818413898679,8.200616353891544,8.211578121571957,1.5497869884093716,0.5256071964435982,0.6799765434383006
1012.8555013727574,2155.4426701423804,0.02487577263362,0.1330893759198121,0.3014344853114561,681.0074014562143,15.5326301383551,9.234001392455175,8.425355469294116,8.459488318793056,1.553988277696693,0.5310003262926327,0.6861428800496224
